postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
DH7,24630,1950-1966,56.30,exclude_1967_1975
DH8,18992,1950-1966,56.72,exclude_1967_1975
DH9,19330,1900-1929,61.85,exclude_1967_1975
DL1,26117,1900-1929,51.24,exclude_1967_1975
DL10,8686,before 1900,49.83,exclude_1967_1975
DL11,2827,before 1900,66.50,exclude_1967_1975
DL12,6491,before 1900,61.42,exclude_1967_1975
DL13,7723,before 1900,75.14,exclude_1967_1975
DL14,23806,1900-1929,53.02,exclude_1967_1975
DL15,13501,1950-1966,60.42,exclude_1967_1975
DL16,13613,1950-1966,49.71,exclude_1967_1975
DL17,13172,1900-1929,72.56,exclude_1967_1975
DL2,9742,before 1900,37.70,exclude_1967_1975
DL3,22850,1900-1929,63.81,exclude_1967_1975
DL4,7166,1950-1966,73.74,exclude_1967_1975
DL5,16459,1950-1966,43.23,exclude_1967_1975
DL6,7955,1967-1975,42.74,exclude_1967_1975
DL7,7778,1983-1990,37.57,exclude_1967_1975
DL8,10343,before 1900,49.99,exclude_1967_1975
DL9,6920,1950-1966,47.56,exclude_1967_1975
DN1,7776,1900-1929,76.04,exclude_1967_1975
DN10,6263,1950-1966,46.24,exclude_1967_1975
DN11,15408,1950-1966,47.14,exclude_1967_1975
DN12,11689,1950-1966,50.59,exclude_1967_1975
DN14,23529,1900-1929,52.34,exclude_1967_1975
DN15,16885,1930-1949,60.45,exclude_1967_1975
DN16,14741,1950-1966,56.01,exclude_1967_1975
DN17,15804,1950-1966,54.27,exclude_1967_1975
DN18,6137,1900-1929,41.75,exclude_1967_1975
DN19,2716,before 1900,43.89,exclude_1967_1975
DN2,11255,1930-1949,81.95,exclude_1967_1975
DN20,8184,1950-1966,42.68,exclude_1967_1975
DN21,22409,1900-1929,50.87,exclude_1967_1975
DN22,19297,1950-1966,45.76,exclude_1967_1975
DN3,13208,1950-1966,33.97,exclude_1967_1975
DN31,6839,1900-1929,71.68,exclude_1967_1975
DN32,16625,1900-1929,77.24,exclude_1967_1975
DN33,9470,1950-1966,51.50,exclude_1967_1975
DN34,8692,1950-1966,62.99,exclude_1967_1975
DN35,16241,1900-1929,73.37,exclude_1967_1975
DN36,9610,1950-1966,31.23,exclude_1967_1975
DN37,9494,1967-1975,36.15,exclude_1967_1975
DN38,1184,1900-1929,57.01,exclude_1967_1975
DN39,1380,before 1900,48.33,exclude_1967_1975
DN4,29629,1900-1929,53.44,exclude_1967_1975
DN40,6143,1950-1966,47.24,exclude_1967_1975
DN41,2758,1967-1975,31.94,exclude_1967_1975
DN5,19078,1900-1929,65.21,exclude_1967_1975
DN6,16525,1900-1929,62.38,exclude_1967_1975
DN7,9856,1950-1966,49.92,exclude_1967_1975
DN8,7864,1950-1966,59.37,exclude_1967_1975
DN9,8802,1950-1966,35.11,exclude_1967_1975
DT1,11678,unknown,30.11,exclude_1967_1975
DT10,6106,before 1900,39.37,exclude_1967_1975
DT11,14389,before 1900,40.70,exclude_1967_1975
DT2,12198,before 1900,44.02,exclude_1967_1975
DT3,11426,1983-1990,29.41,exclude_1967_1975
DT4,19889,1900-1929,56.46,exclude_1967_1975
DT5,6444,before 1900,48.68,exclude_1967_1975
DT6,11942,before 1900,46.68,exclude_1967_1975
DT7,3392,before 1900,53.51,exclude_1967_1975
DT8,3422,before 1900,41.91,exclude_1967_1975
DT9,10718,before 1900,43.68,exclude_1967_1975
DY1,17085,1930-1949,59.64,exclude_1967_1975
DY10,17970,1950-1966,42.92,exclude_1967_1975
DY11,14063,1950-1966,56.35,exclude_1967_1975
DY12,4992,before 1900,51.00,exclude_1967_1975
DY13,9673,1950-1966,41.70,exclude_1967_1975
DY14,3531,before 1900,46.33,exclude_1967_1975
DY2,16824,1930-1949,68.94,exclude_1967_1975
DY3,14340,1950-1966,57.14,exclude_1967_1975
DY4,20121,1950-1966,40.98,exclude_1967_1975
DY5,19834,1930-1949,50.97,exclude_1967_1975
DY6,10058,1950-1966,52.84,exclude_1967_1975
DY7,3294,1950-1966,50.18,exclude_1967_1975
DY8,22146,1950-1966,55.14,exclude_1967_1975
DY9,13295,1950-1966,57.60,exclude_1967_1975
E1,42017,unknown,36.86,exclude_1967_1975
E10,23244,1900-1929,72.42,exclude_1967_1975
E11,27050,1900-1929,69.84,exclude_1967_1975
E12,15920,1900-1929,81.72,exclude_1967_1975
E13,21235,1900-1929,68.96,exclude_1967_1975
E14,74492,unknown,13.43,exclude_1967_1975
E15,30963,1900-1929,45.85,exclude_1967_1975
E16,38236,unknown,21.49,exclude_1967_1975
E17,56211,1900-1929,67.46,exclude_1967_1975
E18,9895,1930-1949,57.92,exclude_1967_1975
E1W,10831,1983-1990,21.04,exclude_1967_1975
E2,26432,1950-1966,46.98,exclude_1967_1975
E20,9296,unknown,0.00,exclude_1967_1975
E22,896,unknown,0.00,exclude_1967_1975
E3,38042,unknown,26.02,exclude_1967_1975
E4,26759,1930-1949,63.62,exclude_1967_1975
E5,23200,1900-1929,61.29,exclude_1967_1975
E6,31981,1900-1929,66.17,exclude_1967_1975
E7,21297,1900-1929,81.26,exclude_1967_1975
E8,24533,1900-1929,47.38,exclude_1967_1975
E9,18542,1930-1949,48.93,exclude_1967_1975
EC1A,1624,unknown,28.20,exclude_1967_1975
EC1M,1522,1996-2002,41.13,exclude_1967_1975
EC1N,1903,1900-1929,43.46,exclude_1967_1975
EC1R,3175,before 1900,62.27,exclude_1967_1975
EC1V,13817,unknown,26.95,exclude_1967_1975
EC1Y,2573,1950-1966,41.55,exclude_1967_1975
EC2A,3093,unknown,31.88,exclude_1967_1975
EC2M,173,before 1900,63.58,exclude_1967_1975
EC2N,16,1900-1929,62.50,exclude_1967_1975
EC2R,19,before 1900,89.47,exclude_1967_1975
EC2V,10,1900-1929,70.00,exclude_1967_1975
EC2Y,2271,1967-1975,7.09,exclude_1967_1975
EC3A,246,unknown,29.67,exclude_1967_1975
EC3M,29,before 1900,100.00,exclude_1967_1975
EC3N,546,1996-2002,33.33,exclude_1967_1975
EC3R,809,unknown,20.02,exclude_1967_1975
EC3V,22,before 1900,90.91,exclude_1967_1975
EC4A,710,unknown,39.01,exclude_1967_1975
EC4M,342,1996-2002,39.77,exclude_1967_1975
EC4N,29,before 1900,79.31,exclude_1967_1975
EC4R,98,before 1900,40.82,exclude_1967_1975
EC4V,775,1996-2002,30.06,exclude_1967_1975
EC4Y,317,before 1900,65.30,exclude_1967_1975
EH11,40,1996-2002,0.00,exclude_1967_1975
EH26,16,1991-1995,0.00,exclude_1967_1975
EN1,21005,1930-1949,63.20,exclude_1967_1975
EN10,7707,1967-1975,22.62,exclude_1967_1975
EN11,9837,1967-1975,37.50,exclude_1967_1975
EN2,14669,1930-1949,52.59,exclude_1967_1975
EN3,29556,1930-1949,60.34,exclude_1967_1975
EN4,11969,1930-1949,59.90,exclude_1967_1975
EN5,18120,1930-1949,55.32,exclude_1967_1975
EN6,12147,1950-1966,64.63,exclude_1967_1975
EN7,7822,1950-1966,29.81,exclude_1967_1975
EN8,17259,1950-1966,43.93,exclude_1967_1975
EN9,10442,1950-1966,37.01,exclude_1967_1975
EX1,14827,unknown,44.41,exclude_1967_1975
EX10,9614,1950-1966,52.23,exclude_1967_1975
EX11,4311,1967-1975,38.18,exclude_1967_1975
EX12,6135,1950-1966,45.40,exclude_1967_1975
EX13,7098,before 1900,44.63,exclude_1967_1975
EX14,11364,1983-1990,32.14,exclude_1967_1975
EX15,10895,before 1900,32.09,exclude_1967_1975
EX16,16146,before 1900,42.91,exclude_1967_1975
EX17,9706,before 1900,41.84,exclude_1967_1975
EX18,1824,before 1900,53.12,exclude_1967_1975
EX19,2043,before 1900,41.85,exclude_1967_1975
EX2,23206,1930-1949,43.78,exclude_1967_1975
EX20,11761,before 1900,42.42,exclude_1967_1975
EX21,2391,before 1900,48.98,exclude_1967_1975
EX22,6570,before 1900,41.48,exclude_1967_1975
EX23,10090,before 1900,34.66,exclude_1967_1975
EX24,1875,before 1900,48.69,exclude_1967_1975
EX3,2964,before 1900,51.35,exclude_1967_1975
EX31,13590,before 1900,34.88,exclude_1967_1975
EX32,11667,before 1900,43.70,exclude_1967_1975
EX33,5292,1967-1975,41.06,exclude_1967_1975
EX34,10617,before 1900,57.62,exclude_1967_1975
EX35,1177,before 1900,69.24,exclude_1967_1975
EX36,5309,before 1900,44.45,exclude_1967_1975
EX37,1784,before 1900,53.59,exclude_1967_1975
EX38,4025,before 1900,45.12,exclude_1967_1975
EX39,22967,before 1900,41.83,exclude_1967_1975
EX4,26923,1900-1929,50.60,exclude_1967_1975
EX5,12441,unknown,33.21,exclude_1967_1975
EX6,6639,before 1900,42.72,exclude_1967_1975
EX7,8342,before 1900,38.46,exclude_1967_1975
EX8,20050,1950-1966,49.21,exclude_1967_1975
EX9,3918,1900-1929,57.40,exclude_1967_1975
FY1,32782,1900-1929,87.76,exclude_1967_1975
FY2,13375,1930-1949,71.63,exclude_1967_1975
FY3,17227,1930-1949,73.40,exclude_1967_1975
FY4,26035,1930-1949,76.81,exclude_1967_1975
FY5,22360,1950-1966,60.42,exclude_1967_1975
FY6,13612,1950-1966,46.56,exclude_1967_1975
FY7,14493,1900-1929,72.31,exclude_1967_1975
FY8,28455,1900-1929,59.42,exclude_1967_1975
GL1,23575,before 1900,55.09,exclude_1967_1975
GL10,7737,1950-1966,36.13,exclude_1967_1975
GL11,9075,1950-1966,40.73,exclude_1967_1975
GL12,6527,before 1900,42.58,exclude_1967_1975
GL13,2967,before 1900,51.37,exclude_1967_1975
GL14,6985,before 1900,49.38,exclude_1967_1975
GL15,10440,before 1900,44.28,exclude_1967_1975
GL16,6640,before 1900,37.17,exclude_1967_1975
GL17,4608,before 1900,56.29,exclude_1967_1975
GL18,4195,before 1900,33.54,exclude_1967_1975
GL19,3693,before 1900,42.35,exclude_1967_1975
GL2,26621,unknown,24.71,exclude_1967_1975
GL20,13520,1967-1975,32.60,exclude_1967_1975
GL3,17042,1950-1966,34.59,exclude_1967_1975
GL4,20624,1950-1966,38.80,exclude_1967_1975
GL5,14333,before 1900,53.63,exclude_1967_1975
GL50,16052,before 1900,53.60,exclude_1967_1975
GL51,25520,1950-1966,46.55,exclude_1967_1975
GL52,24651,before 1900,43.88,exclude_1967_1975
GL53,9625,before 1900,55.45,exclude_1967_1975
GL54,12866,before 1900,45.73,exclude_1967_1975
GL55,3064,before 1900,43.80,exclude_1967_1975
GL56,6112,before 1900,37.94,exclude_1967_1975
GL6,11113,before 1900,51.71,exclude_1967_1975
GL7,23416,before 1900,37.96,exclude_1967_1975
GL8,4718,before 1900,42.69,exclude_1967_1975
GL9,1025,before 1900,55.41,exclude_1967_1975
GU1,17720,1950-1966,50.11,exclude_1967_1975
GU10,9940,1950-1966,48.74,exclude_1967_1975
GU11,14717,1900-1929,33.12,exclude_1967_1975
GU12,14930,1950-1966,44.45,exclude_1967_1975
GU14,27111,1950-1966,37.28,exclude_1967_1975
GU15,15677,1950-1966,35.40,exclude_1967_1975
GU16,10191,1950-1966,30.48,exclude_1967_1975
GU17,4197,1967-1975,28.12,exclude_1967_1975
GU18,2547,1983-1990,27.76,exclude_1967_1975
GU19,3018,1983-1990,26.01,exclude_1967_1975
GU2,14315,1930-1949,59.87,exclude_1967_1975
GU20,1799,1983-1990,41.47,exclude_1967_1975
GU21,24644,1967-1975,30.96,exclude_1967_1975
GU22,17751,1950-1966,37.96,exclude_1967_1975
GU23,3169,1950-1966,51.66,exclude_1967_1975
GU24,7063,1950-1966,45.77,exclude_1967_1975
GU25,2878,1950-1966,41.59,exclude_1967_1975
GU26,3658,1900-1929,44.51,exclude_1967_1975
GU27,8389,1950-1966,51.57,exclude_1967_1975
GU28,3396,before 1900,61.22,exclude_1967_1975
GU29,5241,before 1900,45.75,exclude_1967_1975
GU3,4484,1950-1966,53.39,exclude_1967_1975
GU30,4800,unknown,29.92,exclude_1967_1975
GU31,5296,1983-1990,35.69,exclude_1967_1975
GU32,5867,1900-1929,47.21,exclude_1967_1975
GU33,3591,1950-1966,49.26,exclude_1967_1975
GU34,15770,unknown,32.53,exclude_1967_1975
GU35,10926,1967-1975,22.67,exclude_1967_1975
GU4,7191,1983-1990,39.10,exclude_1967_1975
GU46,5357,1967-1975,23.17,exclude_1967_1975
GU47,7290,1983-1990,25.49,exclude_1967_1975
GU5,4410,before 1900,66.60,exclude_1967_1975
GU51,11927,2003-2006,18.84,exclude_1967_1975
GU52,7660,1950-1966,23.92,exclude_1967_1975
GU6,7576,1950-1966,36.99,exclude_1967_1975
GU7,11321,1950-1966,45.29,exclude_1967_1975
GU8,6977,1950-1966,58.98,exclude_1967_1975
GU9,14345,1950-1966,46.44,exclude_1967_1975
HA0,19192,1930-1949,54.35,exclude_1967_1975
HA1,22731,1930-1949,50.06,exclude_1967_1975
HA2,21919,1930-1949,64.35,exclude_1967_1975
HA3,25101,1930-1949,70.62,exclude_1967_1975
HA4,20624,1930-1949,66.19,exclude_1967_1975
HA5,17601,1930-1949,66.88,exclude_1967_1975
HA6,10521,1930-1949,48.28,exclude_1967_1975
HA7,14652,1930-1949,54.80,exclude_1967_1975
HA8,28094,1930-1949,65.97,exclude_1967_1975
HA9,28742,unknown,36.59,exclude_1967_1975
HD1,13925,1900-1929,71.74,exclude_1967_1975
HD2,14012,1950-1966,62.63,exclude_1967_1975
HD3,14976,1900-1929,58.36,exclude_1967_1975
HD4,14477,1900-1929,66.97,exclude_1967_1975
HD5,13497,1950-1966,68.98,exclude_1967_1975
HD6,13003,1900-1929,57.27,exclude_1967_1975
HD7,9519,before 1900,66.77,exclude_1967_1975
HD8,13050,before 1900,46.78,exclude_1967_1975
HD9,14641,before 1900,52.45,exclude_1967_1975
HG1,19912,1900-1929,63.21,exclude_1967_1975
HG2,15528,1900-1929,64.21,exclude_1967_1975
HG3,13729,before 1900,34.94,exclude_1967_1975
HG4,12596,before 1900,49.05,exclude_1967_1975
HG5,8746,1950-1966,44.21,exclude_1967_1975
HO9,14,unknown,0.00,exclude_1967_1975
HP1,13661,1950-1966,56.88,exclude_1967_1975
HP10,8850,1950-1966,47.73,exclude_1967_1975
HP11,9381,unknown,29.92,exclude_1967_1975
HP12,10728,1950-1966,50.57,exclude_1967_1975
HP13,23497,1950-1966,44.94,exclude_1967_1975
HP14,8439,1967-1975,43.64,exclude_1967_1975
HP15,6221,1967-1975,37.12,exclude_1967_1975
HP16,4716,1967-1975,49.22,exclude_1967_1975
HP17,5097,1950-1966,34.29,exclude_1967_1975
HP18,10144,unknown,31.06,exclude_1967_1975
HP19,12867,unknown,19.25,exclude_1967_1975
HP2,21535,1950-1966,36.27,exclude_1967_1975
HP20,7675,1983-1990,30.62,exclude_1967_1975
HP21,15148,1950-1966,28.76,exclude_1967_1975
HP22,15473,1950-1966,35.83,exclude_1967_1975
HP23,7966,1950-1966,46.38,exclude_1967_1975
HP27,6525,1950-1966,48.58,exclude_1967_1975
HP3,15549,1950-1966,49.03,exclude_1967_1975
HP4,11674,1950-1966,48.65,exclude_1967_1975
HP5,11254,1950-1966,54.01,exclude_1967_1975
HP6,6349,1950-1966,47.63,exclude_1967_1975
HP7,4664,1950-1966,56.17,exclude_1967_1975
HP8,2668,1950-1966,56.78,exclude_1967_1975
HP9,8876,1950-1966,45.53,exclude_1967_1975
HR1,14804,before 1900,44.85,exclude_1967_1975
HR2,18030,1950-1966,46.07,exclude_1967_1975
HR3,3903,before 1900,54.32,exclude_1967_1975
HR4,15165,before 1900,42.00,exclude_1967_1975
HR5,2471,before 1900,52.17,exclude_1967_1975
HR6,10362,before 1900,41.62,exclude_1967_1975
HR7,3591,before 1900,42.83,exclude_1967_1975
HR8,7168,before 1900,38.10,exclude_1967_1975
HR9,11535,before 1900,42.12,exclude_1967_1975
HU1,4936,1900-1929,32.33,exclude_1967_1975
HU10,8225,1950-1966,50.26,exclude_1967_1975
HU11,5008,1967-1975,44.87,exclude_1967_1975
HU12,10459,1967-1975,34.79,exclude_1967_1975
HU13,7221,1930-1949,56.18,exclude_1967_1975
HU14,3370,1950-1966,40.83,exclude_1967_1975
HU15,10562,1950-1966,26.13,exclude_1967_1975
HU16,7440,1950-1966,43.99,exclude_1967_1975
HU17,21545,1950-1966,35.10,exclude_1967_1975
HU18,4838,1950-1966,49.11,exclude_1967_1975
HU19,3812,1900-1929,65.48,exclude_1967_1975
HU2,3432,1967-1975,30.45,exclude_1967_1975
HU20,329,1950-1966,48.63,exclude_1967_1975
HU3,22156,1900-1929,63.22,exclude_1967_1975
HU4,11469,1950-1966,64.22,exclude_1967_1975
HU5,27871,1900-1929,78.49,exclude_1967_1975
HU6,16896,1930-1949,66.54,exclude_1967_1975
HU7,22921,1967-1975,12.48,exclude_1967_1975
HU8,16601,1950-1966,62.39,exclude_1967_1975
HU9,25189,1950-1966,64.14,exclude_1967_1975
HX1,18057,before 1900,72.09,exclude_1967_1975
HX2,18348,1950-1966,66.90,exclude_1967_1975
HX3,22801,before 1900,62.69,exclude_1967_1975
HX4,5155,before 1900,55.31,exclude_1967_1975
HX5,5583,1967-1975,52.32,exclude_1967_1975
HX6,9865,before 1900,62.19,exclude_1967_1975
HX7,6779,before 1900,69.95,exclude_1967_1975
IG1,27092,1900-1929,66.76,exclude_1967_1975
IG10,13917,1950-1966,57.73,exclude_1967_1975
IG11,32459,1930-1949,43.41,exclude_1967_1975
IG2,10085,1930-1949,63.29,exclude_1967_1975
IG3,13488,1900-1929,75.84,exclude_1967_1975
IG4,2670,1930-1949,79.25,exclude_1967_1975
IG5,5601,1930-1949,73.58,exclude_1967_1975
IG6,12190,1930-1949,59.99,exclude_1967_1975
IG7,9096,1950-1966,46.72,exclude_1967_1975
IG8,14273,1930-1949,65.28,exclude_1967_1975
IG9,5691,1930-1949,54.61,exclude_1967_1975
IP1,21262,1950-1966,62.20,exclude_1967_1975
IP10,1299,before 1900,50.12,exclude_1967_1975
IP11,15213,1900-1929,42.39,exclude_1967_1975
IP12,12536,before 1900,40.09,exclude_1967_1975
IP13,9044,before 1900,46.00,exclude_1967_1975
IP14,19854,before 1900,29.35,exclude_1967_1975
IP15,1990,before 1900,53.87,exclude_1967_1975
IP16,4172,1900-1929,50.36,exclude_1967_1975
IP17,6959,before 1900,42.84,exclude_1967_1975
IP18,3053,before 1900,54.80,exclude_1967_1975
IP19,5621,before 1900,44.46,exclude_1967_1975
IP2,17652,1950-1966,43.75,exclude_1967_1975
IP20,4070,before 1900,37.64,exclude_1967_1975
IP21,5149,before 1900,42.51,exclude_1967_1975
IP22,10831,before 1900,34.21,exclude_1967_1975
IP23,3278,before 1900,39.81,exclude_1967_1975
IP24,13612,1967-1975,23.34,exclude_1967_1975
IP25,10317,unknown,28.50,exclude_1967_1975
IP26,4742,1967-1975,43.04,exclude_1967_1975
IP27,10699,1967-1975,23.03,exclude_1967_1975
IP28,16444,unknown,19.47,exclude_1967_1975
IP29,3787,1967-1975,40.30,exclude_1967_1975
IP3,16677,1930-1949,53.71,exclude_1967_1975
IP30,7149,before 1900,30.34,exclude_1967_1975
IP31,9785,1967-1975,35.59,exclude_1967_1975
IP32,9537,1983-1990,18.11,exclude_1967_1975
IP33,13877,1967-1975,35.17,exclude_1967_1975
IP4,19068,1900-1929,58.55,exclude_1967_1975
IP5,8197,2003-2006,16.69,exclude_1967_1975
IP6,8217,before 1900,29.84,exclude_1967_1975
IP7,7618,before 1900,38.53,exclude_1967_1975
IP8,5233,1983-1990,27.96,exclude_1967_1975
IP9,4909,1967-1975,43.78,exclude_1967_1975
KT1,14952,1900-1929,56.27,exclude_1967_1975
KT10,9343,1930-1949,53.22,exclude_1967_1975
KT11,7185,1950-1966,43.98,exclude_1967_1975
KT12,19030,1950-1966,43.77,exclude_1967_1975
KT13,12917,1967-1975,36.11,exclude_1967_1975
KT14,6649,1950-1966,43.98,exclude_1967_1975
KT15,13007,1950-1966,45.28,exclude_1967_1975
KT16,10751,1950-1966,29.96,exclude_1967_1975
KT17,10730,1930-1949,52.70,exclude_1967_1975
KT18,8010,1950-1966,58.84,exclude_1967_1975
KT19,14164,1930-1949,52.34,exclude_1967_1975
KT2,16976,1900-1929,47.96,exclude_1967_1975
KT20,9377,1950-1966,46.01,exclude_1967_1975
KT21,5290,1930-1949,58.47,exclude_1967_1975
KT22,12255,1950-1966,41.61,exclude_1967_1975
KT23,4625,1950-1966,43.81,exclude_1967_1975
KT24,3820,1950-1966,53.43,exclude_1967_1975
KT3,16807,1930-1949,69.29,exclude_1967_1975
KT4,11145,1930-1949,61.44,exclude_1967_1975
KT5,10004,1930-1949,64.60,exclude_1967_1975
KT6,19955,1900-1929,59.44,exclude_1967_1975
KT7,4392,1930-1949,65.10,exclude_1967_1975
KT8,9123,1930-1949,55.77,exclude_1967_1975
KT9,8309,1930-1949,68.01,exclude_1967_1975
L1,12586,unknown,13.94,exclude_1967_1975
L10,5794,1950-1966,61.18,exclude_1967_1975
L11,13044,1930-1949,66.77,exclude_1967_1975
L12,11374,1930-1949,42.32,exclude_1967_1975
L13,18097,1900-1929,81.00,exclude_1967_1975
L14,12862,1930-1949,70.54,exclude_1967_1975
L15,17330,1900-1929,83.61,exclude_1967_1975
L16,4218,1930-1949,80.94,exclude_1967_1975
L17,14708,1900-1929,63.75,exclude_1967_1975
L18,10304,1900-1929,77.49,exclude_1967_1975
L19,12672,1900-1929,67.61,exclude_1967_1975
L2,3165,unknown,18.86,exclude_1967_1975
L20,20815,1900-1929,66.80,exclude_1967_1975
L21,13591,1900-1929,67.79,exclude_1967_1975
L22,7045,1900-1929,73.75,exclude_1967_1975
L23,12800,1930-1949,66.11,exclude_1967_1975
L24,9781,1950-1966,62.22,exclude_1967_1975
L25,16507,1950-1966,54.30,exclude_1967_1975
L26,6984,1950-1966,41.81,exclude_1967_1975
L27,2716,1967-1975,19.29,exclude_1967_1975
L28,5764,1967-1975,18.70,exclude_1967_1975
L29,242,unknown,49.59,exclude_1967_1975
L3,16568,2003-2006,11.25,exclude_1967_1975
L30,9605,1950-1966,61.19,exclude_1967_1975
L31,11678,1950-1966,52.40,exclude_1967_1975
L32,11694,1950-1966,53.95,exclude_1967_1975
L33,10188,1950-1966,40.80,exclude_1967_1975
L34,8088,1950-1966,47.86,exclude_1967_1975
L35,13751,1950-1966,56.17,exclude_1967_1975
L36,21573,1930-1949,65.35,exclude_1967_1975
L37,8835,1967-1975,44.71,exclude_1967_1975
L38,907,1967-1975,46.42,exclude_1967_1975
L39,12149,1950-1966,54.58,exclude_1967_1975
L4,27185,1900-1929,78.40,exclude_1967_1975
L40,8262,1950-1966,44.83,exclude_1967_1975
L5,11486,1900-1929,35.30,exclude_1967_1975
L6,19234,1900-1929,62.51,exclude_1967_1975
L7,13590,1900-1929,61.24,exclude_1967_1975
L8,25911,1900-1929,52.31,exclude_1967_1975
L9,16091,1900-1929,63.93,exclude_1967_1975
LA1,26431,before 1900,59.16,exclude_1967_1975
LA10,1833,before 1900,68.58,exclude_1967_1975
LA11,5445,before 1900,55.83,exclude_1967_1975
LA12,10790,before 1900,61.99,exclude_1967_1975
LA13,7832,1930-1949,68.68,exclude_1967_1975
LA14,21254,1900-1929,76.45,exclude_1967_1975
LA15,3425,before 1900,69.55,exclude_1967_1975
LA16,1272,1900-1929,52.28,exclude_1967_1975
LA17,539,before 1900,66.79,exclude_1967_1975
LA18,3526,before 1900,66.02,exclude_1967_1975
LA19,496,before 1900,77.62,exclude_1967_1975
LA2,9062,before 1900,57.38,exclude_1967_1975
LA20,671,before 1900,66.92,exclude_1967_1975
LA21,747,before 1900,54.35,exclude_1967_1975
LA22,3997,before 1900,59.54,exclude_1967_1975
LA23,5634,before 1900,54.40,exclude_1967_1975
LA3,13047,1930-1949,64.75,exclude_1967_1975
LA4,14113,1930-1949,70.99,exclude_1967_1975
LA5,7166,1950-1966,56.45,exclude_1967_1975
LA6,6321,before 1900,49.49,exclude_1967_1975
LA7,2285,before 1900,61.49,exclude_1967_1975
LA8,4029,before 1900,54.08,exclude_1967_1975
LA9,15868,before 1900,46.12,exclude_1967_1975
LD1,6111,before 1900,47.28,exclude_1967_1975
LD2,2430,before 1900,56.91,exclude_1967_1975
LD3,8786,before 1900,53.02,exclude_1967_1975
LD4,372,before 1900,58.87,exclude_1967_1975
LD5,586,before 1900,59.73,exclude_1967_1975
LD6,1419,before 1900,47.92,exclude_1967_1975
LD7,2349,before 1900,48.62,exclude_1967_1975
LD8,2095,before 1900,45.73,exclude_1967_1975
LE1,15759,unknown,25.27,exclude_1967_1975
LE10,24572,1930-1949,40.30,exclude_1967_1975
LE11,30424,1950-1966,43.97,exclude_1967_1975
LE12,31571,unknown,36.70,exclude_1967_1975
LE13,13424,1967-1975,35.69,exclude_1967_1975
LE14,8571,before 1900,50.93,exclude_1967_1975
LE15,15972,before 1900,42.19,exclude_1967_1975
LE16,18636,unknown,34.99,exclude_1967_1975
LE17,9969,1950-1966,35.79,exclude_1967_1975
LE18,14607,1950-1966,52.10,exclude_1967_1975
LE19,7235,1983-1990,31.13,exclude_1967_1975
LE2,55986,1900-1929,62.02,exclude_1967_1975
LE3,49442,1900-1929,64.70,exclude_1967_1975
LE4,42412,1950-1966,52.30,exclude_1967_1975
LE5,34734,1950-1966,63.87,exclude_1967_1975
LE6,4810,1983-1990,31.95,exclude_1967_1975
LE65,8639,unknown,34.19,exclude_1967_1975
LE67,31474,1950-1966,42.80,exclude_1967_1975
LE7,21561,unknown,36.84,exclude_1967_1975
LE8,17091,unknown,30.90,exclude_1967_1975
LE9,25363,1950-1966,37.94,exclude_1967_1975
LL11,16328,1950-1966,46.99,exclude_1967_1975
LL12,10911,1950-1966,53.59,exclude_1967_1975
LL13,15534,1950-1966,55.59,exclude_1967_1975
LL14,14056,1950-1966,57.26,exclude_1967_1975
LL15,5083,before 1900,52.72,exclude_1967_1975
LL16,7616,before 1900,54.87,exclude_1967_1975
LL17,2697,1950-1966,47.02,exclude_1967_1975
LL18,22680,1930-1949,58.96,exclude_1967_1975
LL19,9668,1950-1966,52.98,exclude_1967_1975
LL20,3868,before 1900,63.47,exclude_1967_1975
LL21,2848,before 1900,69.24,exclude_1967_1975
LL22,9541,1967-1975,44.43,exclude_1967_1975
LL23,1756,before 1900,58.54,exclude_1967_1975
LL24,1100,before 1900,85.82,exclude_1967_1975
LL25,273,before 1900,79.12,exclude_1967_1975
LL26,2143,before 1900,60.43,exclude_1967_1975
LL27,408,before 1900,79.41,exclude_1967_1975
LL28,7371,1900-1929,58.92,exclude_1967_1975
LL29,12160,1900-1929,60.81,exclude_1967_1975
LL30,12615,1900-1929,60.08,exclude_1967_1975
LL31,5119,1930-1949,50.65,exclude_1967_1975
LL32,3479,before 1900,55.42,exclude_1967_1975
LL33,1780,before 1900,63.93,exclude_1967_1975
LL34,2198,before 1900,69.56,exclude_1967_1975
LL35,862,before 1900,62.76,exclude_1967_1975
LL36,2569,before 1900,49.40,exclude_1967_1975
LL37,327,before 1900,70.34,exclude_1967_1975
LL38,446,1967-1975,44.62,exclude_1967_1975
LL39,122,before 1900,81.15,exclude_1967_1975
LL40,2026,before 1900,65.84,exclude_1967_1975
LL41,3046,before 1900,81.12,exclude_1967_1975
LL42,1408,before 1900,73.08,exclude_1967_1975
LL43,220,1967-1975,28.64,exclude_1967_1975
LL44,523,before 1900,58.51,exclude_1967_1975
LL45,311,before 1900,63.34,exclude_1967_1975
LL46,1091,before 1900,46.65,exclude_1967_1975
LL47,294,before 1900,75.51,exclude_1967_1975
LL48,1078,before 1900,67.53,exclude_1967_1975
LL49,2099,before 1900,56.69,exclude_1967_1975
LL51,328,before 1900,81.71,exclude_1967_1975
LL52,1303,before 1900,66.62,exclude_1967_1975
LL53,8331,before 1900,65.51,exclude_1967_1975
LL54,5175,before 1900,79.94,exclude_1967_1975
