postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
BD10,14862,1950-1966,47.52,exclude_1967_1975
BD11,4720,1950-1966,47.08,exclude_1967_1975
BD12,8283,1950-1966,58.31,exclude_1967_1975
BD13,12530,before 1900,55.40,exclude_1967_1975
BD14,3936,1950-1966,53.30,exclude_1967_1975
BD15,7895,1950-1966,55.74,exclude_1967_1975
BD16,12273,1950-1966,48.79,exclude_1967_1975
BD17,8861,1950-1966,52.91,exclude_1967_1975
BD18,13718,1930-1949,73.34,exclude_1967_1975
BD19,9907,1950-1966,54.92,exclude_1967_1975
BD2,15259,1950-1966,67.17,exclude_1967_1975
BD20,16310,before 1900,56.00,exclude_1967_1975
BD21,15562,before 1900,80.95,exclude_1967_1975
BD22,14051,before 1900,63.45,exclude_1967_1975
BD23,14665,before 1900,56.10,exclude_1967_1975
BD24,2897,before 1900,53.33,exclude_1967_1975
BD3,19243,1900-1929,78.08,exclude_1967_1975
BD4,18720,1950-1966,61.61,exclude_1967_1975
BD5,18127,1900-1929,72.89,exclude_1967_1975
BD6,14821,1950-1966,61.18,exclude_1967_1975
BD7,18024,1900-1929,80.80,exclude_1967_1975
BD8,17443,1900-1929,72.06,exclude_1967_1975
BD9,14638,before 1900,77.13,exclude_1967_1975
BH1,19027,1900-1929,53.84,exclude_1967_1975
BH10,8766,1930-1949,60.73,exclude_1967_1975
BH11,8703,1950-1966,46.94,exclude_1967_1975
BH12,16439,1930-1949,58.19,exclude_1967_1975
BH13,6447,1967-1975,23.24,exclude_1967_1975
BH14,14742,1930-1949,45.88,exclude_1967_1975
BH15,18656,1950-1966,41.61,exclude_1967_1975
BH16,6361,1950-1966,32.37,exclude_1967_1975
BH17,9350,1983-1990,17.54,exclude_1967_1975
BH18,4286,1967-1975,34.97,exclude_1967_1975
BH19,6562,1900-1929,47.99,exclude_1967_1975
BH2,9138,1900-1929,46.97,exclude_1967_1975
BH20,8650,1950-1966,45.48,exclude_1967_1975
BH21,18155,1967-1975,34.49,exclude_1967_1975
BH22,12507,1967-1975,28.42,exclude_1967_1975
BH23,27563,1950-1966,39.69,exclude_1967_1975
BH24,10708,1950-1966,40.02,exclude_1967_1975
BH25,13026,1950-1966,36.10,exclude_1967_1975
BH3,2789,1900-1929,70.78,exclude_1967_1975
BH31,5689,1983-1990,11.41,exclude_1967_1975
BH4,7700,1900-1929,43.65,exclude_1967_1975
BH5,8768,1900-1929,56.90,exclude_1967_1975
BH6,12322,1930-1949,63.35,exclude_1967_1975
BH7,5531,1930-1949,63.53,exclude_1967_1975
BH8,15191,1900-1929,48.61,exclude_1967_1975
BH9,14378,1930-1949,70.16,exclude_1967_1975
BL0,7461,before 1900,59.35,exclude_1967_1975
BL1,34023,1900-1929,57.56,exclude_1967_1975
BL2,20730,1900-1929,63.10,exclude_1967_1975
BL3,28740,1900-1929,59.70,exclude_1967_1975
BL4,15614,1900-1929,59.36,exclude_1967_1975
BL5,12007,1900-1929,37.10,exclude_1967_1975
BL6,14862,1900-1929,45.04,exclude_1967_1975
BL7,6397,before 1900,47.29,exclude_1967_1975
BL8,14403,1967-1975,54.86,exclude_1967_1975
BL9,25241,1900-1929,65.45,exclude_1967_1975
BN1,50332,before 1900,72.56,exclude_1967_1975
BN10,9693,1950-1966,29.74,exclude_1967_1975
BN11,23326,before 1900,62.93,exclude_1967_1975
BN12,10475,1950-1966,65.76,exclude_1967_1975
BN13,13194,1950-1966,39.80,exclude_1967_1975
BN14,12894,1930-1949,74.74,exclude_1967_1975
BN15,12372,1950-1966,54.63,exclude_1967_1975
BN16,14967,1950-1966,39.68,exclude_1967_1975
BN17,16630,1967-1975,40.70,exclude_1967_1975
BN18,7965,before 1900,39.55,exclude_1967_1975
BN2,52735,before 1900,69.75,exclude_1967_1975
BN20,10410,1950-1966,62.52,exclude_1967_1975
BN21,18650,1900-1929,57.51,exclude_1967_1975
BN22,16670,1900-1929,56.09,exclude_1967_1975
BN23,13770,1967-1975,12.31,exclude_1967_1975
BN24,4941,1950-1966,33.60,exclude_1967_1975
BN25,11777,1950-1966,43.97,exclude_1967_1975
BN26,6122,1950-1966,50.83,exclude_1967_1975
BN27,16088,unknown,27.60,exclude_1967_1975
BN3,53498,before 1900,76.31,exclude_1967_1975
BN41,8833,1950-1966,63.29,exclude_1967_1975
BN42,4187,1930-1949,73.47,exclude_1967_1975
BN43,11096,1950-1966,42.62,exclude_1967_1975
BN44,4066,1967-1975,47.96,exclude_1967_1975
BN45,259,before 1900,69.88,exclude_1967_1975
BN5,3519,1950-1966,42.51,exclude_1967_1975
BN6,8812,1950-1966,49.33,exclude_1967_1975
BN7,9312,1950-1966,58.35,exclude_1967_1975
BN8,7415,before 1900,47.98,exclude_1967_1975
BN9,6865,1950-1966,48.40,exclude_1967_1975
BR1,26149,1930-1949,63.56,exclude_1967_1975
BR2,21608,1930-1949,56.90,exclude_1967_1975
BR3,24852,1930-1949,48.81,exclude_1967_1975
BR4,6547,1930-1949,71.35,exclude_1967_1975
BR5,18808,1950-1966,68.44,exclude_1967_1975
BR6,18254,1930-1949,56.69,exclude_1967_1975
BR7,7843,1930-1949,59.73,exclude_1967_1975
BR8,8460,1950-1966,43.59,exclude_1967_1975
BS1,14590,unknown,24.11,exclude_1967_1975
BS10,13561,1950-1966,52.38,exclude_1967_1975
BS11,8159,1950-1966,65.02,exclude_1967_1975
BS13,13020,1950-1966,62.26,exclude_1967_1975
BS14,12061,1967-1975,39.31,exclude_1967_1975
BS15,20257,1950-1966,53.87,exclude_1967_1975
BS16,38981,unknown,41.73,exclude_1967_1975
BS2,13040,before 1900,37.71,exclude_1967_1975
BS20,15932,1950-1966,27.54,exclude_1967_1975
BS21,10728,before 1900,43.53,exclude_1967_1975
BS22,16984,1967-1975,27.16,exclude_1967_1975
BS23,24307,before 1900,69.07,exclude_1967_1975
BS24,12363,unknown,21.50,exclude_1967_1975
BS25,3199,1950-1966,44.17,exclude_1967_1975
BS26,2326,before 1900,50.64,exclude_1967_1975
BS27,3678,before 1900,35.94,exclude_1967_1975
BS28,1496,before 1900,51.27,exclude_1967_1975
BS29,1876,1950-1966,41.47,exclude_1967_1975
BS3,22684,1900-1929,66.29,exclude_1967_1975
BS30,11111,1950-1966,31.33,exclude_1967_1975
BS31,10701,1950-1966,42.87,exclude_1967_1975
BS32,11927,1991-1995,5.39,exclude_1967_1975
BS34,18058,unknown,30.64,exclude_1967_1975
BS35,10065,1950-1966,32.70,exclude_1967_1975
BS36,5435,1950-1966,44.89,exclude_1967_1975
BS37,17367,1967-1975,20.99,exclude_1967_1975
BS39,6763,1950-1966,46.72,exclude_1967_1975
BS4,21545,1930-1949,66.46,exclude_1967_1975
BS40,5797,before 1900,54.23,exclude_1967_1975
BS41,2615,1950-1966,54.30,exclude_1967_1975
BS48,10359,1967-1975,31.47,exclude_1967_1975
BS49,5436,1950-1966,38.21,exclude_1967_1975
BS5,30208,1900-1929,64.56,exclude_1967_1975
BS6,19421,before 1900,81.96,exclude_1967_1975
BS7,20797,1930-1949,67.73,exclude_1967_1975
BS8,17687,before 1900,75.05,exclude_1967_1975
BS9,12072,1930-1949,61.51,exclude_1967_1975
C06,18,unknown,0.00,exclude_1967_1975
CA1,13446,1950-1966,59.65,exclude_1967_1975
CA10,7662,before 1900,57.26,exclude_1967_1975
CA11,12386,before 1900,43.44,exclude_1967_1975
CA12,4800,before 1900,56.58,exclude_1967_1975
CA13,7664,before 1900,47.93,exclude_1967_1975
CA14,18028,1950-1966,59.80,exclude_1967_1975
CA15,7925,1950-1966,61.91,exclude_1967_1975
CA16,3169,before 1900,45.95,exclude_1967_1975
CA17,2661,before 1900,59.90,exclude_1967_1975
CA18,171,before 1900,71.93,exclude_1967_1975
CA19,513,before 1900,71.73,exclude_1967_1975
CA2,19557,1950-1966,59.24,exclude_1967_1975
CA20,1525,before 1900,59.02,exclude_1967_1975
CA21,319,before 1900,42.63,exclude_1967_1975
CA22,3639,1950-1966,52.54,exclude_1967_1975
CA23,706,before 1900,72.52,exclude_1967_1975
CA24,393,before 1900,67.94,exclude_1967_1975
CA25,2817,1950-1966,60.74,exclude_1967_1975
CA26,1742,before 1900,54.99,exclude_1967_1975
CA27,652,before 1900,42.64,exclude_1967_1975
CA28,12828,1950-1966,60.56,exclude_1967_1975
CA3,6163,1930-1949,40.86,exclude_1967_1975
CA4,4145,before 1900,47.72,exclude_1967_1975
CA5,2840,before 1900,46.62,exclude_1967_1975
CA6,4768,before 1900,55.31,exclude_1967_1975
CA7,11220,before 1900,58.20,exclude_1967_1975
CA8,5256,before 1900,59.47,exclude_1967_1975
CA9,1315,before 1900,77.87,exclude_1967_1975
CB1,26414,before 1900,46.44,exclude_1967_1975
CB10,6770,before 1900,38.63,exclude_1967_1975
CB11,8490,unknown,32.32,exclude_1967_1975
CB2,11260,unknown,21.39,exclude_1967_1975
CB21,7363,1950-1966,40.38,exclude_1967_1975
CB22,12572,1950-1966,40.61,exclude_1967_1975
CB23,17536,unknown,17.66,exclude_1967_1975
CB24,17393,1983-1990,26.68,exclude_1967_1975
CB25,8641,1950-1966,36.00,exclude_1967_1975
CB3,8500,unknown,32.56,exclude_1967_1975
CB4,22298,1950-1966,41.46,exclude_1967_1975
CB5,6935,1950-1966,45.21,exclude_1967_1975
CB6,18542,1996-2002,26.96,exclude_1967_1975
CB7,15218,unknown,33.36,exclude_1967_1975
CB8,19569,before 1900,40.56,exclude_1967_1975
CB9,14677,1967-1975,27.78,exclude_1967_1975
CF10,16213,2003-2006,14.94,exclude_1967_1975
CF11,24639,1900-1929,53.11,exclude_1967_1975
CF14,32848,1950-1966,56.60,exclude_1967_1975
CF15,7252,1967-1975,31.36,exclude_1967_1975
CF23,19947,1967-1975,35.31,exclude_1967_1975
CF24,36572,1900-1929,74.84,exclude_1967_1975
CF3,22911,1950-1966,40.28,exclude_1967_1975
CF31,19703,1950-1966,34.86,exclude_1967_1975
CF32,13556,1900-1929,62.34,exclude_1967_1975
CF33,6503,1950-1966,51.99,exclude_1967_1975
CF34,8850,1900-1929,72.77,exclude_1967_1975
CF35,7831,unknown,31.39,exclude_1967_1975
CF36,7238,1967-1975,49.06,exclude_1967_1975
CF37,17950,1900-1929,67.89,exclude_1967_1975
CF38,8894,1967-1975,29.57,exclude_1967_1975
CF39,12321,before 1900,65.04,exclude_1967_1975
